NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Greg Grant, DEN, PG,29,10, 0, 10.9,0.6,2.3, .261, 0.2,0.6,.333, 0.4, 1.7,.235,.304, 0.0,0.0,, 0.3,0.4,0.7,1.4, 0.2, 0.0,0.5,0.7, 1.4
Harvey Grant, POR, PF,30,76, 75, 31.5,4.1,8.9, .462, 0.3,0.9,.313, 3.9, 8.1,.479,.478, 0.8,1.4,.545, 1.5,3.2,4.8,1.5, 0.8, 0.6,1.1,2.3, 9.3
Horace Grant, ORL, PF,30,63, 62, 36.3,5.5,10.7, .513, 0.0,0.1,.167, 5.5, 10.7,.516,.513, 2.4,3.3,.734, 2.8,6.4,9.2,2.7, 1.0, 1.2,1.0,2.3, 13.4
A.C. Green, PHO, SF,32,82, 36, 25.8,2.6,5.4, .484, 0.2,0.6,.269, 2.5, 4.8,.513,.500, 2.0,2.9,.709, 2.0,4.7,6.8,0.9, 0.5, 0.3,1.0,1.7, 7.5
Tom Gugliotta, MIN, PF,26,78, 78, 36.3,6.1,12.9, .471, 0.3,1.1,.302, 5.7, 11.8,.487,.484, 3.7,4.8,.773, 2.3,6.6,8.8,3.1, 1.8, 1.2,3.0,3.4, 16.2
Jack Haley, CHI, C,32,1, 0, 7.0,2.0,6.0, .333, 0.0,0.0,, 2.0, 6.0,.333,.333, 1.0,2.0,.500, 1.0,1.0,2.0,0.0, 0.0, 0.0,1.0,2.0, 5.0
Thomas Hamilton, BOS, C,20,11, 0, 6.4,0.8,2.8, .290, 0.0,0.0,, 0.8, 2.8,.290,.290, 0.6,1.6,.389, 0.9,1.1,2.0,0.1, 0.0, 0.8,0.8,1.1, 2.3
Geert Hammink, TOT, C,26,6, 0, 2.8,0.3,0.7, .500, 0.0,0.0,, 0.3, 0.7,.500,.500, 0.7,1.2,.571, 0.3,0.3,0.7,0.0, 0.0, 0.0,0.3,0.3, 1.3
Geert Hammink, ORL, C,26,3, 0, 2.3,0.3,0.7, .500, 0.0,0.0,, 0.3, 0.7,.500,.500, 0.7,1.3,.500, 0.7,0.3,1.0,0.0, 0.0, 0.0,0.7,0.3, 1.3
Geert Hammink, GSW, C,26,3, 0, 3.3,0.3,0.7, .500, 0.0,0.0,, 0.3, 0.7,.500,.500, 0.7,1.0,.667, 0.0,0.3,0.3,0.0, 0.0, 0.0,0.0,0.3, 1.3
Tom Hammonds, DEN, PF,28,71, 4, 14.7,1.8,3.8, .474, 0.0,0.0,, 1.8, 3.8,.474,.474, 1.2,1.6,.765, 1.2,1.9,3.1,0.3, 0.3, 0.2,0.7,1.9, 4.8
Darrin Hancock, CHH, SF,24,63, 7, 13.3,1.8,3.4, .523, 0.0,0.0,.333, 1.8, 3.3,.526,.526, 0.7,1.2,.644, 0.6,0.9,1.6,0.7, 0.4, 0.1,0.9,1.5, 4.3
Anfernee Hardaway, ORL, PG,24,82, 82, 36.8,7.6,14.8, .513, 1.1,3.5,.314, 6.5, 11.4,.573,.549, 5.4,7.1,.767, 1.6,2.7,4.3,7.1, 2.0, 0.5,2.8,2.0, 21.7
